category,old_va,new_va,new_class_obf,key,semantic_class,semantic_name
class,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,BaseClass136_D93C,BaseClass136_D93C
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÏÌÍÍÎÍÍÍÏÏÎÍÏÍÎÏÏÎÌÍÌÌÏ,BaseClass136_D93C,GetInstanceID
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÌÌÍÍÌÎÌÎÎÏÏÍÌÌÎÏÍÌÍÏÎÍÏ,BaseClass136_D93C,LinkConnectedBody
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÌÎÏÌÌÌÎÍÌÌÍÌÏÍÍÎÎÍÌÎÎÌÌ,BaseClass136_D93C,OnDestroy
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÎÏÎÎÏÎÌÍÍÏÍÍÌÍÏÍÍÏÏÏÌÌÌ,BaseClass136_D93C,ConfigureConnectedBody
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÍÏÍÏÎÎÏÌÎÌÏÎÏÌÌÏÍÌÏÎÎÌÌ,BaseClass136_D93C,IsNativeObjectAlive
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÎÍÏÍÌÎÍÍÏÍÏÌÎÌÌÍÏÍÌÌÌÎÏ,BaseClass136_D93C,get_ValueToAppear
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÍÎÏÍÌÏÎÎÌÎÍÏÎÍÎÌÏÌÎÌÌÏÌ,BaseClass136_D93C,SetReadOnlyState
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÏÎÎÏÌÍÏÌÍÍÌÎÏÏÎÏÎÌÏÏÍÍÎ,BaseClass136_D93C,set_name
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÍÎÏÎÍÏÍÍÏÌÍÍÎÍÎÏÏÎÏÌÎÎÏ,BaseClass136_D93C,Initialize
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÏÍÎÌÌÍÌÍÏÍÍÎÏÎÏÏÍÌÌÏÎÏÏ,BaseClass136_D93C,ContainsChild
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÎÎÌÌÌÎÍÏÎÎÍÎÎÏÌÌÏÌÌÏÎÎÏ,BaseClass136_D93C,Cleanup
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÌÍÍÍÍÍÏÎÏÌÎÌÏÌÏÎÌÍÎÍÏÎÏ,BaseClass136_D93C,InitializeRuntimeData
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÌÌÍÏÍÏÎÏÌÌÎÏÎÏÎÏÍÏÍÌÍÌÍ,BaseClass136_D93C,CopySerializedState
method,0x302AE390,0x302AE390,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ,ÏÌÎÌÍÎÌÏÏÎÏÎÍÌÌÍÏÍÍÌÏÏÎ::ÌÎÏÌÍÏÍÎÌÏÍÎÌÍÏÌÌÌÍÍÏÎÌ,BaseClass136_D93C,UpdateConnectedBody
