with hints 61
<>c::m_6D9	<>c	cross:ProcessInternalDataAndReturnResult
PlayerModComponentHealth::m_913	PlayerModComponentHealth	va:GetCurrentHealth || sig:Internal_CancelInvokeAll
VRCUiManager::m_D0B	VRCUiManager	cross:GetFormat
VRCUiManager::m_E0F	VRCUiManager	cross:CopyTextureRegion
VRC_Secondary::m_3B5	VRC_Secondary	cross:TransformPoint
VRC_Secondary::m_620	VRC_Secondary	cross:GetDeltaTime
VRC_Secondary::m_73B	VRC_Secondary	cross:GetPosition
VRC_Secondary::m_A2A	VRC_Secondary	cross:get_SynchronizingObject
VRC_Secondary::m_D33	VRC_Secondary	cross:GetRotation
VRC_Secondary::m_E6E	VRC_Secondary	cross:InverseTransformPoint
VRC_Secondary::m_DF7	VRC_Secondary	cross:SetHeadLookEnabled
VRC_Secondary::m_8B8	VRC_Secondary	cross:GetTransform
VRC_Secondary::m_3F4	VRC_Secondary	cross:OnProductsRetrieved
VRC_Secondary::m_514	VRC_Secondary	cross:LookRotation
VRC_Secondary::m_EA9	VRC_Secondary	va:get_DebounceTimeError
VRC_Secondary::m_376	VRC_Secondary	cross:RetrieveLockContext
VRC_Secondary::m_406	VRC_Secondary	cross:GetActiveInHierarchy
VRC_Secondary::m_686	VRC_Secondary	cross:TransitionToStateWithError
VRC_Secondary::m_36F	VRC_Secondary	va:Initialize
VRC_Secondary::m_556	VRC_Secondary	cross:SetConnectedBody
VRC_Secondary::m_2E9	VRC_Secondary	cross:GetEnabled
VRC_Secondary::m_147	VRC_Secondary	cross:GetUnscaledDeltaTime
VRC_Secondary::m_A7B	VRC_Secondary	cross:OrthoOffsetToScreenBounds
VRC_Secondary::m_ACE	VRC_Secondary	va:Initialize
VRC_Secondary::m_7F8	VRC_Secondary	cross:ConfigureQualitySettings
VRC_Secondary::m_568	VRC_Secondary	cross:IsFocused
VRC_Secondary::m_266	VRC_Secondary	cross:UpdateTransformPositionsFromQuaternions
VRC_Secondary::m_945	VRC_Secondary	cross:SetConnectedBody
VRC_Main::m_27D	VRC_Main	cross:GetFloatPropertyAtOffset1208
VRC_Main::m_784	VRC_Main	cross:SetConnectedBody
VRC_Main::m_A7F	VRC_Main	cross:DoInternal_FromEulerRad_Injected_61E
FlatBufferNetworkSerializer::m_653	FlatBufferNetworkSerializer	cross:GetLanguage
VRCPlayer::m_461	VRCPlayer	cross:SetPosition
VRCPlayer::m_AA8	VRCPlayer	cross:CompareExchangePlayerFieldAtOffset336
NetworkManager::m_4B6	NetworkManager	cross:ReadPhysicMaterialState
NetworkManager::m_949	NetworkManager	cross:GetTransform_355
PhysSoundAudioContainer::m_8DD	PhysSoundAudioContainer	cross:Instantiate
VRCUdonMovieCapture::m_175	VRCUdonMovieCapture	cross:Initialize
VRCJokeJamTracker::m_A59	VRCJokeJamTracker	cross:DoInternal_FromEulerRad_Injected_F22
