MajorSystem_13C5::m_763	get_simulationMode	CALLEES=	STRINGS=UnityEngine.Physics::get_simulationMode()
MajorSystem_13C5::m_93C	GetTransform_EC5	CALLEES=TMP_SubMeshUI::set_sharedMaterial	STRINGS=UnityEngine.Animator::get_isHuman() | UnityEngine.Transform::FindRelativeTransformWithPath(UnityEngine.Transform,System.String,System.Boolean) | UnityEngine.Transform::get_position_Injected(UnityEngine.Vector3&) | UnityEngine.Transform::get_rotation_Injected(UnityEngine.Quaternion&) | UnityEngine.Transform::set_position_Injected(UnityEngine.Vector3&) | UnityEngine.Transform::set_rotation_Injected(UnityEngine.Quaternion&)
MajorSystem_13C5::m_A31	StartCoroutine	CALLEES=DBNull::ToString | MajorSystem_13C5::print	STRINGS=
MajorSystem_13C5::m_A93	Start	CALLEES=	STRINGS=UnityEngine.Component::get_transform() | UnityEngine.Transform::get_rotation_Injected(UnityEngine.Quaternion&) | UnityEngine.Transform::set_rotation_Injected(UnityEngine.Quaternion&)
MajorSystem_13C5::m_BE0	Update	CALLEES=TMP_SubMeshUI::set_sharedMaterial	STRINGS=UnityEngine.Quaternion::Slerp_Injected(UnityEngine.Quaternion&,UnityEngine.Quaternion&,System.Single,UnityEngine.Quaternion&) | UnityEngine.Transform::get_position_Injected(UnityEngine.Vector3&) | UnityEngine.Transform::get_rotation_Injected(UnityEngine.Quaternion&) | UnityEngine.Transform::set_position_Injected(UnityEngine.Vector3&) | UnityEngine.Transform::set_rotation_Injected(UnityEngine.Quaternion&)
MajorSystem_13C5::m_D97	SetLocalRotation	CALLEES=	STRINGS=UnityEngine.Quaternion::Lerp_Injected(UnityEngine.Quaternion&,UnityEngine.Quaternion&,System.Single,UnityEngine.Quaternion&) | UnityEngine.Time::get_deltaTime() | UnityEngine.Transform::set_localRotation_Injected(UnityEngine.Quaternion&)
MajorSystem_13C5::m_E54	StartCoroutine_Auto	CALLEES=	STRINGS=UnityEngine.Animator::GetIntegerString(System.String)
MajorSystem_13C5::m_FDD	OnDisable	CALLEES=AnimationPlayableExtensions::SetAnimatedPropertiesInternal | AsyncStateMachine_7D53::Equals	STRINGS=
Mono10m_CDA1::m_F0B	.ctor	CALLEES=	STRINGS=UnityEngine.GameObject::SetActive(System.Boolean)
Mono11m_400E::m_490	.ctor	CALLEES=	STRINGS=UnityEngine.Quaternion::Internal_FromEulerRad_Injected(UnityEngine.Vector3&,UnityEngine.Quaternion&)
Mono11m_5330::m_025	Initialize	CALLEES=	STRINGS=UnityEngine.Random::Range(System.Single,System.Single)
